source,tibschol_refs,zotero_refs,xml_id,status,location,xml_content
3_087_04_Blo gros mtshungs med_tshad ma don bsdus.xml,3_087_04,,ex87042023-10-041,unreviewed,1a,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex87042023-10-041"" status=""unreviewed""><lb n=""1a""/>@@ || <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5294"">tshad ma'i don bsdus pa</rs> zhes bya ba bzhugs pa lags s+hyo ||</seg></TEI>"
3_087_04_Blo gros mtshungs med_tshad ma don bsdus.xml,3_087_04,,ex87042023-10-042,unreviewed,1b1,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex87042023-10-042"" status=""unreviewed""><lb n=""1b1""/> || rgya gar skad tu || <rs type=""work"">pra mā ṇa pin dār tha</rs> nama || bod skad du || <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5294"">tshad ma'i don bsdus pa</rs> zhes bya ba |</seg></TEI>"
3_087_04_Blo gros mtshungs med_tshad ma don bsdus.xml,3_087_04,,ex87042024-09-1215-44-53,unreviewed,2a7,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""2a7""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex87042024-09-1215-44-53"" status=""unreviewed"">yang <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3831"">slob dpon cha pa</rs> na re: rdzas yod chos 3 tshang ba de rdzas su yod pa rigs mi 'thun gyi spyi dang dngos su 'gal ba | mtshan gzhi la grub pa ni mtshan nyid yang dag gi mtshan nyid du 'dod pa la |</seg></TEI>"
3_087_04_Blo gros mtshungs med_tshad ma don bsdus.xml,3_087_04,,ex87042024-09-1215-46-31,unreviewed,2a7 - 2b2,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""2a7""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex87042024-09-1215-46-31"" status=""unreviewed""><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4018"">chu mig <pb n=""2b""/><lb n=""2b1""/> pa</rs>s mtshan nyid kyi rigs mi 'thun gyi spyi dang dngos 'gal la byed na | mi rtag pa'i mtshan nyid du bkod pa'i rgyu bskyed mtshan nyid du thal te|chos gnyis po de tshang pa'i phyir gsung pa mi rigs te| mi rtag pa'i mtshan nyid du bkod pa'i rgyu bskyed chos can|mtshan nyid kyi ldog par thal|mtshan nyid kyi rigs mi 'thun gyi spyi dang dngos 'gal yin pa'i phyir|| khyab pa dang rtags <lb n=""2b2""/> khas blangs yod pa na bzlog mi nus so||</seg></TEI>"
3_087_04_Blo gros mtshungs med_tshad ma don bsdus.xml,3_087_04,,ex87042024-09-1215-46-312,unreviewed,6b2,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""6b2""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex87042024-09-1215-46-312"" status=""unreviewed""><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4018"">chu mig pa</rs> kho nyid mtshan nyid du bkod pa la ltos te mtshan gzhi ma yin par mtshon zer ba ni |</seg></TEI>"
3_087_04_Blo gros mtshungs med_tshad ma don bsdus.xml,3_087_04,,ex87042024-09-1215-46-3123,unreviewed,13a1 - 13a2,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""13a1""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex87042024-09-1215-46-3123"" status=""unreviewed"">yang <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4018"">chu mig pa</rs>s bum pa rgyus bskyed du mtshon pa la <lb n=""13a2""/> skad cig ma mtshan nyid du bkod pa mtshan nyid skyon med du 'dod pa mi 'thad de|mtshon bya yang skyon med du 'gyur na rang ldog tha snyad du ma grub pa yin pa'i phyir ro || khyab pa khas kyang blangs de gang rung skyon can yin na gsum ga skyon can du 'gyur bas khyab pa'i phyir ro ||</seg></TEI>"
3_087_04_Blo gros mtshungs med_tshad ma don bsdus.xml,3_087_04,,ex87042023-10-04-133,unreviewed,[15a4],"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""[15a4]""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex87042023-10-04-133"" status=""unreviewed""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5294"">tshad ma'i don bsdus pa</rs> las mtshan nyid kyi le'u ste dang po'o||</seg></TEI>"
3_087_04_Blo gros mtshungs med_tshad ma don bsdus.xml,3_087_04,,ex87042023-10-04-135,unreviewed,61b3 - 61b6,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""61b3""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex87042023-10-04-135"" status=""unreviewed"" ana=""corpusmd:colophon""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5294"">tshad ma'i don bsdus pa</rs> zhes bya ba'i bstan bc[o]s 'di ni <lb n=""61b4""/> lung dang [r]igs pa man ngag gyi tshul la dbang 'byor pa | mkhas pa'i <abbr>gtsug gi</abbr> rgyan du gyur pa |<anchor xml:id=""a3""/> phyogs ma lus par snyan pa rab tu <abbr>grags</abbr> pa <?oxy_comment_start comment=""*""?><?oxy_comment_end?>can | 'gran zla dang bral ba'i mkhas pa chen po <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4095"">dbang phyug dpal<anchor xml:id=""a4""/></rs> gyi bka' drin pas rab tu byed pa <rs type=""work"">sde bdun mdo</rs> dang bcas [pa? legs???]par sbyor bas rnams (read: rnam) spyod <lb n=""61b5 *""/>rtog rig pa'i tshul khon du chud pa gzhung luGS{} la <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4094"">chen po_blo gros mtshungs med</rs> la (BDRC falsly notes, or corrects?: pas) don du gnyer ba'i slob ma blo gsal zhing yid gzhungs pa du mas yang dang yang du bskul zhing <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:5957""><rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:5949"">mnga' ris</rs> pa dge'i ba'i bshes | <?oxy_comment_start comment=""*""?><?oxy_comment_end?> gnyen 'od zer seng ge</rs>s shog gu yang phul nas snar ********** <lb n=""61b6""/> kyis <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:5733"">dpal sa skya'i gtsug lag khang</rs> du legs par sbyar ba rdzogs s+ho ||</seg></TEI>"
4_111_02 dam chos bstan pa sgron me.xml,4_111_03,,ex111022025-02-2416-26-59,unreviewed,26a2 - 26a3,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""26a2""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex111022025-02-2416-26-59"" status=""unreviewed""><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:5962"">b+hud+ha sang g+ha</rs> ming can bdag | lug lo ° zla yar ngos °i° <lb n=""26a3""/> drug | <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5456"">dam chos bstun pa'i sgron me</rs> bris | 'di bris dsuM? dge ba rnaMs | pha mas tsang byas sems can zhis | myur du bde dang ldan gyur 1 | bkra shis </seg></TEI>"
2_050_02 Gzhi lam 'bras gsum gyi rnam gzhag.xml,2_050_02,,ex50022023-10-131,unreviewed,,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex50022023-10-131"" status=""unreviewed""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4835"">gzhi lam 'bras gsuM gyi rnaM gzhag </rs>
         <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4052"">smon laM tshul khrims</rs> gyis mdzad pa bzhugs</seg></TEI>"
2_050_02 Gzhi lam 'bras gsum gyi rnam gzhag.xml,2_050_02,,ex50022023-09-125,unreviewed,69a8 - 69b1,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""69a8""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" status=""unreviewed"" xml:id=""ex50022023-09-125"" ana=""corpusmd:colophon""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4835"">shes rab kyi pha rol <lb n=""69a9""/> tu phyin pa'i man ngag gi bstan bcos mngon par rtogs pa'i rgyan gyi 'grel pa legs par bshad pa skyes bu'i don grub</rs> zhes bya ba <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4052"">mang du thos pa'i shakya'i dge slong smon lam tshul khrims </rs>kyis | bla ma dam pa mang pos byin gyis brlabs shing | <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:4411"">mkhas btsun gyi 'dus pa phan bde'i 'byung gnas dpal snar thang gi gtsug lag khang</rs> du <pb n=""69b""/><lb n=""69b1""/> ma?yongs su rdzogs s+ho || × rten 'gro ? yin_no| × <rs type=""person"" ana=""corpusmd:named_reference"" ref=""4836"">glan ston<anchor xml:id=""a3""/></rs> <rs type=""person"" ana=""corpusmd:unnamed_reference"" ref=""db:4836"">bdag</rs> gis bris |</seg></TEI>"
2_039_01_ dPal ldan seng ge_'dul ba lung btus pa zhes bya ba'i dka' gnad.xml,2_039_01,,ex39012024-09-0915-25-36,unreviewed,30a4 - 30a6,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex39012024-09-0915-25-36"" status=""unreviewed""><lb n=""30a4""/>… chos rje'i <lb n=""30a5""/> chos 'dul chu skyes dga' tshal gang|| 'jug ldog shes bya'i 'dab brgya rgyas pa la|| gnas brtan seng ge sbrang bus sbrang rtsi btus|| blo ldan slob ma ro brgyas dges par mdzod|| 'dir nongs de kun <lb n=""30a6""/> kun mkhyen de la bshags|| legs pa gang bskrun des 'dir 'gro ba kun|| legs pa'i laM zhugs legs mchog drang srong che|| skyabs med skyob pa'i rdzogs sangs myur thob shog|| || </seg></TEI>"
2_039_01_ dPal ldan seng ge_'dul ba lung btus pa zhes bya ba'i dka' gnad.xml,2_039_01,,ex39012024-09-0915-27-122,unreviewed,30a7,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex39012024-09-0915-27-122"" status=""unreviewed"" ana=""corpusmd:colophon""><lb n=""30a7""/> <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5844"">dam pa'i chos 'dul ba lung kun las btus pa rin po che snang pa</rs> zhes bya ba ¦ <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4010"">mang du thos pa'i btsun pa <note type=""gloss""><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4010"">ba ri pa</rs></note> dpal ldan seng ge</rs>s ¦ <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:5661"">bar ri'i dgon pa</rs>r bris pa'o ||</seg></TEI>"
3_076_01_dbu_ma_rtsa_grel_rab_gsal_skyabs_mchog_dpal_bzang_W1PD153536-I1KG13965-17-212.xml,3_076_01,,ex76012024-09-1612-18-36,unreviewed,97a1,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex76012024-09-1612-18-36"" status=""unreviewed"" ana=""corpusmd:colophon"">de spyir bstan pa yun des b nas phyir dang || 
				rang nyid dran phyir gzhan la phan bya'i phyir || 
				gzur gnas        <pb n=""97a""/>         
            <lb n=""97a1""/>blo ldan don du gnyer ba yi || bshes gnyen rnams kyis legs par bskul ba'i mthun || <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4080"">shAkya'i dge slong skyabs mchog dpal bzang po</rs>s || gzhung mchog 'di yi rnam bshar 'di byas so ||</seg></TEI>"
3_076_01_dbu_ma_rtsa_grel_rab_gsal_skyabs_mchog_dpal_bzang_W1PD153536-I1KG13965-17-212.xml,3_076_01,,ex76012024-09-1612-39-18,unreviewed,97a2 - 97a5,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""97a2""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex76012024-09-1612-39-18"" status=""unreviewed"" ana=""corpusmd:colophon"">
				<milestone unit=""section"" n=""colophon""/>
				<rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5209""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:3715"">dbu ma'i rtsa ba'i tshig le'ur byas pa shes rab</rs> ces bya ba'i rgya cher bshad pa ¦ tshig don rab tu gsal ba</rs> zhes <lb n=""97a3""/>bya ba | gsung rab kyi de kho na nyid thugs su chung nas ¦ 'chad brtsod brtsom pa la snang ba rab tu rgyas pa'i ¦ <rs type=""person"" ana=""corpusmd:named_reference"">sde snod 'dzin pa nyi ma seng ge</rs> dang | <rs type=""person"" ana=""corpusmd:named_reference"">dpal gsang pa 'dus pa</rs> dang | mtha' bral dbu ma chen po sogs ¦ <rs type=""person"" ana=""corpusmd:named_reference"">'phags pa klu sgrub</rs> yab sras kyi gzhung lugs la gzhan gyis brdzi bar mi nus pa'i so**d pa dge ba can pa <lb n=""97a4""/><rs type=""person"" ana=""corpusmd:named_reference"">yong dbon po shAkya seng ge</rs> dang | lung dang rigs pa'i de kho na nyid phyin ci ma log par smra zhing || 
					chos tshul 'dis la mi phyed pa'i dad pa can | <rs type=""person"" ana=""corpusmd:named_reference"">mdo stod pa sangs rgyas 'bum</rs><!--maybe dbus pa blo gsal db:4091--> laswo pas bskul nas | 
					<rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4080"">shAkya'i dge slong skyabs mchog dpal bzang po</rs>s ¦ <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3725"">dpal ldan zla ba grags pa</rs>'i 'grel ba bzhin du | dbang <abbr>phyug gi</abbr> lo ¦ smin drug can gyi <lb n=""97a5""/>zla ba'i dkar phyogs kyi tshes bcu gsum la sbyar ba'o || <abbr>yi ge</abbr> pa ni <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:6844"">lung dang rigs par smra ba ¦ seng ge rgyal mtshan</rs> gyis <abbr>bgyis so</abbr> || 
				'di la <abbr>brten nas</abbr> <abbr>sangs rgyas</abbr> kyi bstan pa rin po che phyogs dang dus dang gnas skabs <abbr>thams cad</abbr> du dar zhing rgyas la yun ring du gnab par gyur cig |</seg></TEI>"
X_010 C_Ral gri_tshad ma bsdus pa rigs pa mtshon cha_no line breaks.xml,$,,exX10_2025-02-0609-38-542,unreviewed,,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""exX10_2025-02-0609-38-542"" status=""unreviewed"">
         <lg><l>'gro ba'i bla ma rgyal dang rgyal sras <rs type=""person"" ana="""">byams mgon klu sgrub</rs>  rjes 'brang bcas| |</l>
         <l><rs type=""person"" ana="""">thogs med dbyig gnyen phyogs kyi glang po chos  kyi  grags  pa</rs> bzhed pa'i gzhung | |</l>
         <l><rs type=""work"">rnam 'grel rgyan</rs> dang <rs type=""work"">rnam nges chos mchog bde byed zla ba</rs>'i lugs [374]pa[a]brgya gya brgyad ༄༅| |'dzin cing | |</l>
         <l>mu stegs  byed pa'i lta ngan kun sel gzhung 'di <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4006"">dpal ldan ral gri</rs>s bkod| |</l></lg></seg></TEI>"
X_010 C_Ral gri_tshad ma bsdus pa rigs pa mtshon cha_no line breaks.xml,$,,exX10_2025-02-0609-38-54,unreviewed,,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""exX10_2025-02-0609-38-54"" status=""unreviewed""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5526"">tshad ma'i bstan bcos gzhan phyogs zil gnon rigs pa'i mtshon cha</rs> zhes bya ba| ming gzhan <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5526"">grub mtha' sna tshogs bshad pa bde bar gshegs pa'i bstan pa'i sgron me</rs> 'di ni sngon gyi <rs type=""person"" ana=""corpusmd:unnamed_reference"">slob dpon</rs> dag gi gzhung lugs du ma mthong zhing thos te de dag gsal la ma 'dres par rigs pa dang grol bar smra ba'i spobs pa can <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4006"">yul dbus kyi btsun pa rigs pa'i ral gri</rs>s bkod do ||</seg></TEI>"
3_088_06 sgra bstan bcos.xml,3_088_06,,ex88062025-02-2417-06-35,unreviewed,13b3 - 13b4,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex88062025-02-2417-06-35"" status=""unreviewed"">sgra'i bstan bcos rig pa klag pa'i don ma mthong pa rnaMs kyi blo gros kyi mig 'byed par byed ba lnga bshad gser gyi thur ma zhes bya ba °°°°° <lb n=""13b3""/> <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4100"">rdo ban chos kyi gzi brjid  dpal bzang po</rs> ces bya bas bris pa rdzogs s+ho || 
         blo ldan gzhon nu rnaMs la phan bya'i phyir || sdeb °°°° <lb n=""13b4""/> thig bud bkral | <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:5760"">dkon gnas chen po stod lungs rnaM par gyi | ri khrod dben gnas dkar pheb</rs> zhes byar bris || 'gro la phan thob par gyur cig ||
           </seg></TEI>"
1_014_01_F_Jam gsar_spring yig phreng_etext.xml,1_014_01,,ex14032024-10-0416-35-30,unreviewed,[4b2] - 4b3,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""[4b2]""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex14032024-10-0416-35-30"" status=""unreviewed"" ana=""corpusmd:colophon""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4573"">spring yig <lb n=""4b3""/> bai_DU_rya'i phreng ba</rs> zhes bya ba | <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3884"">lung rigs smra ba 'jam gsar</rs> gyis <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:6956"">mdol chung</rs> dang | <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:6049"">rkyang 'dur</rs> gyis mgo byas pa'i chos gzhi yon bdag dang | gra pa bu slob rnams la spring ba rdzogs so ||</seg></TEI>"
4_108_03 srid zhi mnyam nyid kyi lta ba’i khrid_25_04_2022.xml,4_108_03,,ex108032023-10-06-113311,unreviewed,,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex108032023-10-06-113311"" status=""unreviewed"">phyi¶ la¶ 298 || <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5429"">srid zhi mnyam nyid kyi lta ba'i khrid thun bzhi'i rnal 'byor nyams su len tshul</rs> bzhugs so||</seg></TEI>"
4_108_03 srid zhi mnyam nyid kyi lta ba’i khrid_25_04_2022.xml,4_108_03,,ex108032023-10-06-111733,unreviewed,[1b1],"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex108032023-10-06-111733"" status=""unreviewed""><lb n=""[1b1]""/>༄༅༅|  ༑ |na mo gu ru <rs type=""deity"">aA+rya man+dzu shi+riA ye</rs>| rten 'brel sna tshogs la <abbr>brten nas</abbr>|| gnas lugs ji bzhin ston bya ste|| skyabs song tshogs bsams sgrib pa sbyang|| rten 'brel lugs 'bung lugs bzlog sgom||… </seg></TEI>"
4_108_03 srid zhi mnyam nyid kyi lta ba’i khrid_25_04_2022.xml,4_108_03,,ex108032023-10-06-112825,unreviewed,[1b4] - [1b5],"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex108032023-10-06-112825"" status=""unreviewed""><lb n=""[1b4]""/> <!--input incomplete--><rs type=""person"" ana="""">bla ma</rs> dang <rs type=""deity"">rje btsun 'jam pa'i dbyangs</rs> la gus par phyag <abbr>'tshal lo</abbr>||<!--input incomplete--> <milestone unit=""section"" n=""[Body of the text (ca_1b4, 96)]""/>
         'dir <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5429"">srid zhi'i mnyam nyid kyi lta ba'i khrid</rs> ston par byed pa la don 3 ste| sngon 'gro dang| dngos gzhi dang| <lb n=""[1b5]""/> rjes la ngo sprad pa'o||</seg></TEI>"
4_108_03 srid zhi mnyam nyid kyi lta ba’i khrid_25_04_2022.xml,4_108_03,,ex108032023-10-06-113435,unreviewed,15a5 - 15a6,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""15a5""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex108032023-10-06-113435"" status=""unreviewed"">   <milestone unit=""section"" n=""Colophon (cha_15a5, p. 123)]""/>
        <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5429"">srid zhi mnyam nyid lta ba'i khyid</rs> 'di <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3720"">'phags pa klu sgrub</rs> yab sras dang <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3725"">dpal ldan zla ba grags pa</rs>'i <rs type=""school"">dbu ma</rs>'i gzhung lugs dag gi lung dang rigs pas kyang cung zad <lb n=""15a6""/> brgyan nas <rs type=""deity"">rje btsun 'jam pa'i dbyang</rs> kyi bka' <abbr>bzhin</abbr> du <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4116"">dpa' bo rdo rje</rs>s yig ger bkod pa'o || ||</seg></TEI>"
4_108_03 srid zhi mnyam nyid kyi lta ba’i khrid_25_04_2022.xml,4_108_03,,ex108032023-10-06-115547,unreviewed,15a8 - 15a9,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex108032023-10-06-115547"" status=""unreviewed"">
            <milestone unit=""section"" n=""[Post-colophon annotations (ca_15, p. 123)]""/>
        <lb n=""15a8""/> <!--input incomplete-->khrid 'dis kyang <rs type=""school"">dbu ma'i lta ba</rs> rnaM dag ston mod kyi | 'on kyang dngos gzhi gsang 'dus kyi 'od gsal gyi khrid yin pa'i phyir| zhi gnas kyi skabs la rigs lnga yum bzhi la sogs la brten | <abbr>ting 'dzin</abbr> sgom pa'i <lb n=""15a9""/> babs nan mo ma yin pa yod do || </seg></TEI>"
4_108_03 srid zhi mnyam nyid kyi lta ba’i khrid_25_04_2022.xml,4_108_03,,ex108032023-10-06-115629,unreviewed,15a9,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""15a9""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex108032023-10-06-115629"" status=""unreviewed""><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4593"">dpal ldan bla ma dam pa khu dbon</rs> gyi thugs dgogs rdzogs pa'i phyir du <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:5725"">nyi ma dpal gyi dge ldan</rs> du bzhegs pa'o ||</seg></TEI>"
3_061_10 = 2_056_08_I_R_M_slob dpon pad ma_bde gshegs kun gyi snying po_20211221.xml,"2_056_08
3_061_10",,ex61102023-09-131,finalized,1b2 - 1b3,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""1b2""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex61102023-09-131"" status=""finalized"" ana=""corpusmd:colophon"">  <milestone unit=""section"" n=""Colophon (1b2-1b3)""/>
        <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4052""><abbr>slob dpon</abbr> pad <lb n=""1b3""/> mA</rs>s mdzad pa'i <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5097"">tshe bsgrub</rs> rdzogs s+ho || <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:6458"">ze'u</rs>s bris dge'o ||</seg></TEI>"
2_052_05_ral gri mngon rtogs rgyan me tog.xml,2_052_05,,ex52052024-10-1815-36-11,unreviewed,,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex52052024-10-1815-36-11"" status=""unreviewed"">dang po la a b+hi ni mngon pa'o || 
sa ma ya ni rtogs pa'o | a lang 
ka ra ni rgyan no || na ma ni zhes bya ba'o || pra dz+nyA ni shes rab bo || pa ra mi ta ni pha rol du phyin pa'o || u pa de sha ni man ngag go | sha sku ni bstan bcos so | bri ti ni 'grel pa'o ||</seg></TEI>"
2_052_05_ral gri mngon rtogs rgyan me tog.xml,2_052_05,,ex52052024-10-1815-08-44,unreviewed,,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex52052024-10-1815-08-44"" status=""unreviewed"" ana=""corpusmd:colophon""><rs type=""work"" ana=""corpusmd:named_reference"">rgyal ba'i yum gyi 'grel bshad mngon par rtogs pa rgyan gyi me tog ming gzhan shes bya'i rgya mtsho</rs> zhes bya ba | <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4006"">mang du thos pa rgya mtsho'i dbus 
na gnas pa | rigs pa dang dang grol bar smra ba'i spobs pa can rdzogs pa'i byang chub la shes nas dad pa thob pa | yul dbus kyi btsun pa rigs pa'i ral gri</rs>s <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:4411"">dpal ldan snar thang gi dgon pa</rs>r sbyar ba 'di legs par rdzogs so ||</seg></TEI>"
